,genesymbol,canonical_marker,cell_type,germ_layer,human,human_sensitivity,human_specificity,mouse,mouse_sensitivity,mouse_specificity,ncbi_tax_id,organ,ubiquitiousness
29,RNASE1,True,Endothelial cells,Mesoderm,True,0.807692,0.0660622,True,0.0,0.0,9606,Vasculature,0.022
30,AMY2B,True,Acinar cells,Endoderm,True,0.0833333,0.0,True,0.528571,0.00148244,9606,Pancreas,0.003
31,CPA2,True,Acinar cells,Endoderm,True,0.916667,0.0,True,0.457143,0.00277151,9606,Pancreas,0.004
33,CPA1,True,Acinar cells,Endoderm,True,0.833333,0.0,True,0.585714,0.00438286,9606,Pancreas,0.006
34,CELA3B,True,Acinar cells,Endoderm,True,0.75,0.00125786,True,0.8,0.00502739,9606,Pancreas,0.007
35,PNLIP,True,Acinar cells,Endoderm,True,0.833333,0.000314465,True,0.585714,0.00354496,9606,Pancreas,0.005
37,PLA2G1B,True,Acinar cells,Endoderm,True,0.833333,0.00157233,True,0.228571,0.00638092,9606,Pancreas,0.007
39,PRSS2,True,Acinar cells,Endoderm,True,1.0,0.0103774,True,0.7,0.00696101,9606,Pancreas,0.01
41,CLPS,True,Acinar cells,Endoderm,True,0.583333,0.000314465,True,0.957143,0.0215276,9606,Pancreas,0.021
45,SYCN,True,Acinar cells,Endoderm,True,0.833333,0.00157233,True,0.0,0.0,9606,Pancreas,0.008
46,PNLIPRP1,True,Acinar cells,Endoderm,True,0.5,0.0,True,0.628571,0.00663874,9606,Pancreas,0.008
48,CTRC,True,Acinar cells,Endoderm,True,0.833333,0.0,True,0.414286,0.00135353,9606,Pancreas,0.003
49,REG3A,True,Enterocytes,Endoderm,True,0.0,0.0141243,True,0.0,0.0,9606,GI tract,0.005
50,REG3A,True,Acinar cells,Endoderm,True,0.916667,0.0106918,True,0.0,0.0,9606,Pancreas,0.005
54,CFB,True,Ductal cells,Endoderm,True,0.0,0.0,True,0.0,0.00153994,9606,Pancreas,0.001
55,CFB,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.0,0.00154689,9606,Pancreas,0.001
56,GDF15,True,Acinar cells,Endoderm,True,0.833333,0.054088,True,0.0,0.00309378,9606,Pancreas,0.014
57,GDF15,True,Macrophages,Mesoderm,True,0.166667,0.0566038,True,0.0181818,0.00258449,9606,Immune system,0.014
58,GDF15,True,Ductal cells,Endoderm,True,0.628571,0.050681,True,0.0,0.00307988,9606,Pancreas,0.014
59,MUC1,True,Acinar cells,Endoderm,True,0.916667,0.0295597,True,0.185714,0.0117306,9606,Pancreas,0.016
61,MUC1,True,Clara cells,Endoderm,True,0.666667,0.0322985,True,0.340426,0.0115201,9606,Lungs,0.016
62,MUC1,True,Pulmonary alveolar type II cells,Endoderm,True,1.0,0.0289399,True,0.765152,0.00608296,9606,Lungs,0.016
63,MUC1,True,Sebocytes,Mesoderm,True,0.0,0.0328947,True,0.0,0.012512,9606,Skin,0.016
64,MUC1,True,Epithelial cells,Mesoderm,True,0.382353,0.0291324,True,0.0,0.012537,9606,Epithelium,0.016
65,MUC1,True,Ductal cells,Endoderm,True,0.228571,0.0307254,True,0.0,0.012512,9606,Pancreas,0.016
66,MUC1,True,Luminal epithelial cells,Ectoderm,True,0.666667,0.0299024,True,0.0,0.0125225,9606,Mammary gland,0.016
69,DUOXA2,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.0,0.000128908,9606,Pancreas,0.0
72,OLFM4,True,Crypt cells,Endoderm,True,0.0,0.0153509,True,0.0,0.0126404,9606,GI tract,0.013
73,OLFM4,True,Acinar cells,Endoderm,True,0.583333,0.0132075,True,0.0,0.0126974,9606,Pancreas,0.013
74,GSTA1,True,Enterocytes,Endoderm,True,0.0,0.0301318,True,0.298013,0.00261729,9606,GI tract,0.012
76,GSTA1,True,Acinar cells,Endoderm,True,0.916667,0.0267296,True,0.0,0.00837899,9606,Pancreas,0.012
78,LGALS2,True,Cholangiocytes,Endoderm,True,0.133333,0.0356112,True,1.0,0.0306745,9606,Liver,0.032
79,LGALS2,True,Acinar cells,Endoderm,True,0.916667,0.0345912,True,0.0142857,0.0308733,9606,Pancreas,0.032
81,LGALS2,True,Enterocytes,Endoderm,True,0.5,0.037037,True,0.897351,0.0136753,9606,GI tract,0.032
83,PDZK1IP1,True,Acinar cells,Endoderm,True,1.0,0.0396226,True,0.114286,0.0228166,9606,Pancreas,0.025
84,PDZK1IP1,True,Platelets,Mesoderm,True,0.0,0.0432873,True,0.0,0.0232319,9606,Blood,0.025
85,RARRES2,True,Acinar cells,Endoderm,True,1.0,0.0751572,True,0.0,0.0,9606,Pancreas,0.03
87,RARRES2,True,Adipocytes,Mesoderm,True,0.0,0.0788069,True,0.0,0.0,9606,Connective tissue,0.03
88,RARRES2,True,Ependymal cells,Ectoderm,True,0.0,0.0787822,True,0.0,0.0,9606,Brain,0.03
92,CXCL17,True,Acinar cells,Endoderm,True,0.75,0.0248428,True,0.0,0.00367386,9606,Pancreas,0.007
94,UBD,True,Acinar cells,Endoderm,True,,,True,,,9606,Pancreas,0.0
95,GSTA2,True,Hepatocytes,Endoderm,True,0.0540541,0.00919176,True,0.2,0.00604696,9606,Liver,0.007
96,GSTA2,True,Acinar cells,Endoderm,True,0.916667,0.00628931,True,0.0142857,0.00650983,9606,Pancreas,0.007
97,GSTA2,True,Proximal tubule cells,Mesoderm,True,0.0,0.00971482,True,0.385714,0.00483403,9606,Kidney,0.007
98,ANPEP,True,Hematopoietic stem cells,Mesoderm,True,0.0,0.0128446,True,0.0,0.0169099,9606,Bone,0.015
99,ANPEP,True,Enterocytes,Endoderm,True,0.666667,0.0116133,True,0.403974,0.00922594,9606,GI tract,0.015
100,ANPEP,True,Luminal epithelial cells,Ectoderm,True,0.0,0.0129053,True,0.0,0.0168893,9606,Mammary gland,0.015
101,ANPEP,True,Pericytes,Mesoderm,True,0.0,0.0128728,True,0.0123967,0.0169458,9606,Vasculature,0.015
102,ANPEP,True,Gastric chief cells,Endoderm,True,0.0,0.0128446,True,0.0,0.0168752,9606,GI tract,0.015
103,ANPEP,True,Acinar cells,Endoderm,True,0.75,0.0100629,True,0.0714286,0.0166291,9606,Pancreas,0.015
105,ANPEP,True,Epithelial cells,Mesoderm,True,0.176471,0.011083,True,0.0967742,0.016716,9606,Epithelium,0.015
112,ANGPTL4,True,Acinar cells,Endoderm,True,0.166667,0.0295597,True,0.0,0.0329359,9606,Pancreas,0.031
113,ANGPTL4,True,Sebocytes,Mesoderm,True,0.0,0.0300752,True,0.0,0.0327879,9606,Skin,0.031
114,ALDOB,True,Enterocytes,Endoderm,True,0.0,0.00627746,True,0.943709,0.0191716,9606,GI tract,0.031
115,ALDOB,True,Acinar cells,Endoderm,True,0.583333,0.00408805,True,0.0428571,0.0370609,9606,Pancreas,0.031
116,CEBPA,True,Microglia,Ectoderm,True,0.0,0.0,True,0.193182,0.0252228,9606,Brain,0.025
118,CEBPA,True,Pulmonary alveolar type II cells,Endoderm,True,0.0,0.0,True,0.265152,0.0279557,9606,Lungs,0.025
120,CEBPA,True,Sebocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0299647,9606,Skin,0.025
121,CEBPA,True,Basophils,Mesoderm,True,0.0,0.0,True,0.533333,0.0294798,9606,Immune system,0.025
123,EGFR,True,Myoblasts,Mesoderm,True,0.0,0.0222431,True,0.285714,0.0125233,9606,Skeletal muscle,0.014
125,EGFR,True,Adipocytes,Mesoderm,True,0.0,0.022292,True,0.0,0.0127752,9606,Connective tissue,0.014
128,EGFR,True,Bergmann glia,Ectoderm,True,0.0,0.0222431,True,0.0,0.0127711,9606,Brain,0.014
129,EGFR,True,Neuroblasts,Ectoderm,True,0.0,0.0222431,True,0.0,0.0127695,9606,Brain,0.014
130,EGFR,True,Gastric chief cells,Endoderm,True,0.0,0.0222431,True,0.0,0.0127687,9606,GI tract,0.014
133,FGF10,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.000626566,True,0.0,0.00173244,9606,Connective tissue,0.001
135,MMP3,True,Fibroblasts,Mesoderm,True,0.00900901,0.00194742,True,0.0859729,0.000594334,9606,Connective tissue,0.003
137,PPARG,True,Melanocytes,Mesoderm,True,0.0,0.0109649,True,0.0,0.00462339,9606,Skin,0.006
139,PPARG,True,Enterocytes,Endoderm,True,0.666667,0.00973007,True,0.0298013,0.00412223,9606,GI tract,0.006
140,PPARG,True,Macrophages,Mesoderm,True,0.0833333,0.0106918,True,0.0040404,0.00463883,9606,Immune system,0.006
141,PPARG,True,T helper cells,Mesoderm,True,0.0,0.0109649,True,0.0,0.00461983,9606,Immune system,0.006
142,PPARG,True,Megakaryocytes,Mesoderm,True,0.0,0.0109649,True,0.0,0.00461983,9606,Immune system,0.006
144,PPARG,True,Adipocytes,Mesoderm,True,0.0,0.010989,True,0.375,0.00442961,9606,Connective tissue,0.006
146,TWIST2,True,Fibroblasts,Mesoderm,True,0.162162,0.00129828,True,0.0,0.0,9606,Connective tissue,0.012
147,GATA3,True,T helper cells,Mesoderm,True,0.0,0.0200501,True,0.0,0.0297722,9606,Immune system,0.03
148,GATA3,True,Principal cells,Mesoderm,True,0.0,0.0200501,True,1.0,0.0293362,9606,Kidney,0.03
149,GATA3,True,Nuocytes,Mesoderm,True,0.0,0.0200501,True,1.0,0.027901,9606,Immune system,0.03
150,GATA3,True,Mesangial cells,Mesoderm,True,1.0,0.0194357,True,0.0,0.0297722,9606,Kidney,0.03
152,GATA3,True,Hematopoietic stem cells,Mesoderm,True,0.0,0.0200501,True,0.0,0.0298335,9606,Bone,0.03
153,GATA3,True,Natural killer T cells,Mesoderm,True,0.0,0.0200501,True,0.0,0.0297722,9606,Immune system,0.03
156,SMO,True,Chondrocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.005
159,STAB1,True,Endothelial cells,Mesoderm,True,0.0288462,0.00161917,True,0.0,0.0,9606,Vasculature,0.018
160,STAB1,True,Macrophages,Mesoderm,True,0.0833333,0.00220126,True,0.0,0.0,9606,Immune system,0.018
164,CCN5,True,Osteoblasts,Mesoderm,True,0.0,0.00657895,True,0.0,0.0,9606,Bone,0.005
166,WT1,True,Podocytes,Mesoderm,True,1.0,0.0157729,True,0.0,0.0,9606,Kidney,0.01
167,WT1,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.0225564,True,0.0,0.0,9606,Connective tissue,0.01
170,WT1,True,Neuroblasts,Ectoderm,True,0.0,0.0225564,True,0.0,0.0,9606,Brain,0.01
172,WT1,True,Sertoli cells,Mesoderm,True,0.0,0.0225564,True,0.0,0.0,9606,Reproductive,0.01
173,WT1,True,Hepatocytes,Endoderm,True,0.0,0.0228209,True,0.0,0.0,9606,Liver,0.01
175,SCARA5,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.0115915,True,0.0,0.0,9606,Connective tissue,0.007
176,SCARA5,True,Fibroblasts,Mesoderm,True,0.297297,0.00129828,True,0.0,0.0,9606,Connective tissue,0.007
177,HOXC8,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.00313283,True,0.0,0.00532563,9606,Connective tissue,0.005
179,TCF7L1,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.00845865,True,0.0,0.0,9606,Connective tissue,0.009
180,TCF7L1,True,Mast cells,Mesoderm,True,0.0,0.0084799,True,0.0,0.0,9606,Immune system,0.009
181,HOXC9,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.0159774,True,0.0,0.00494065,9606,Connective tissue,0.007
182,HOXC9,True,Adipocytes,Mesoderm,True,0.714286,0.0144427,True,0.0,0.00494319,9606,Connective tissue,0.007
187,SULT1E1,True,Leydig cells,Mesoderm,True,0.0,0.00595611,True,0.0,0.0,9606,Reproductive,0.002
188,SULT1E1,True,Mammary epithelial cells,Mesoderm,True,0.0,0.00595611,True,0.0,0.0,9606,Mammary gland,0.002
189,EBF2,True,Adipocytes,Mesoderm,True,0.0,0.00125589,True,0.0,0.00706169,9606,Connective tissue,0.006
190,EBF2,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.00125313,True,0.0,0.00705807,9606,Connective tissue,0.006
192,NRG4,True,Adipocyte progenitor cells,Mesoderm,True,0.0,0.00156642,True,0.0,0.000320821,9606,Connective tissue,0.001
193,SLC36A2,True,Proximal tubule cells,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Kidney,0.003
194,SLC36A2,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.003
195,P2RX5,True,B cells memory,Mesoderm,True,0.0,0.0018797,True,0.0,0.0,9606,Immune system,0.0
196,P2RX5,True,B cells naive,Mesoderm,True,0.0,0.00188857,True,0.0,0.0,9606,Immune system,0.0
197,P2RX5,True,Adipocytes,Mesoderm,True,0.0,0.00188383,True,0.0,0.0,9606,Connective tissue,0.0
198,P2RX5,True,Osteoblasts,Mesoderm,True,0.0,0.0018797,True,0.0,0.0,9606,Bone,0.0
199,P2RX5,True,Plasma cells,Mesoderm,True,0.0,0.00190114,True,0.0,0.0,9606,Immune system,0.0
200,LEP,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.0
201,LEP,True,Gastric chief cells,Endoderm,True,0.0,0.0,True,0.0,0.0,9606,GI tract,0.0
203,UCP1,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.0
204,CIDEA,True,Thymocytes,Endoderm,True,0.0,0.0,True,0.0,0.00494065,9606,Thymus,0.004
205,CIDEA,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.5,0.0046864,9606,Connective tissue,0.004
206,PRDM16,True,Adipocytes,Mesoderm,True,0.0,0.00125589,True,0.0,0.000962958,9606,Connective tissue,0.001
207,LHX8,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.00154073,9606,Connective tissue,0.001
208,EPSTI1,True,Adipocytes,Mesoderm,True,0.0,0.0291994,True,0.0,0.0431405,9606,Connective tissue,0.041
210,MC2R,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.0
211,FFAR2,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.125,0.0121975,9606,Connective tissue,0.01
212,FFAR2,True,Sebocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0122554,9606,Skin,0.01
213,FFAR2,True,Beta cells,Endoderm,True,0.0,0.0,True,0.428571,0.0111304,9606,Pancreas,0.01
214,PIKFYVE,True,Adipocytes,Mesoderm,True,0.0,0.00345369,True,0.0,0.00295307,9606,Connective tissue,0.003
215,CYP11B2,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.0
216,TLR2,True,Langerhans cells,Mesoderm,True,0.0,0.000952986,True,0.0,0.0,9606,Skin,0.014
218,TLR2,True,Hematopoietic stem cells,Mesoderm,True,0.0,0.00093985,True,0.0,0.0,9606,Bone,0.014
219,TLR2,True,Neutrophils,Mesoderm,True,0.0,0.000943693,True,0.0,0.0,9606,Immune system,0.014
220,TLR2,True,Macrophages,Mesoderm,True,0.0,0.000943396,True,0.0,0.0,9606,Immune system,0.014
221,TLR2,True,Müller cells,Ectoderm,True,0.0,0.00093985,True,0.0,0.0,9606,Eye,0.014
223,TLR2,True,Adipocytes,Mesoderm,True,0.0,0.000941915,True,0.0,0.0,9606,Connective tissue,0.014
224,TLR4,True,Basophils,Mesoderm,True,0.0,0.000313283,True,0.0,0.0,9606,Immune system,0.0
225,TLR4,True,Platelets,Mesoderm,True,0.0,0.000313676,True,0.0,0.0,9606,Blood,0.0
226,TLR4,True,Adipocytes,Mesoderm,True,0.0,0.000313972,True,0.0,0.0,9606,Connective tissue,0.0
227,TLR4,True,Osteoclast precursor cells,Mesoderm,True,0.0,0.000313283,True,0.0,0.0,9606,Bone,0.0
228,TLR4,True,Monocytes,Mesoderm,True,0.0,0.000315856,True,0.0,0.0,9606,Immune system,0.0
229,TLR4,True,Kupffer cells,Mesoderm,True,0.0,0.000313283,True,0.0,0.0,9606,Liver,0.0
231,TLR4,True,Satellite glial cells,Ectoderm,True,0.0,0.000313283,True,0.0,0.0,9606,Brain,0.0
232,TLR4,True,Macrophages,Mesoderm,True,0.0,0.000314465,True,0.0,0.0,9606,Immune system,0.0
233,TLR4,True,Langerhans cells,Mesoderm,True,0.0,0.000317662,True,0.0,0.0,9606,Skin,0.0
234,ADRB1,True,Pinealocytes,Ectoderm,True,0.0,0.00219298,True,0.0,0.00237514,9606,Brain,0.002
235,ADRB1,True,Adipocytes,Mesoderm,True,0.0,0.0021978,True,0.0,0.0023753,9606,Connective tissue,0.002
236,ADRB2,True,Microglia,Ectoderm,True,0.0,0.0100251,True,0.152273,0.0142621,9606,Brain,0.016
237,ADRB2,True,Adipocytes,Mesoderm,True,0.0,0.0100471,True,0.0,0.0181678,9606,Connective tissue,0.016
238,ADRB2,True,Pyramidal cells,Ectoderm,True,0.0,0.0100251,True,0.0,0.0181597,9606,Brain,0.016
239,ADRB3,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.125,0.000577775,9606,Connective tissue,0.0
240,FABP4,True,Dendritic cells,Mesoderm,True,0.0340136,0.0091954,True,0.0238095,0.0332626,9606,Immune system,0.028
241,FABP4,True,Cardiomyocytes,Mesoderm,True,0.0,0.0103383,True,0.466667,0.031562,9606,Heart,0.028
242,FABP4,True,Loop of Henle cells,Mesoderm,True,0.0,0.0103416,True,0.0,0.0332371,9606,Kidney,0.028
243,FABP4,True,Fibroblasts,Mesoderm,True,0.018018,0.0100617,True,0.104072,0.0311695,9606,Connective tissue,0.028
244,FABP4,True,Macrophages,Mesoderm,True,0.0833333,0.0100629,True,0.0484848,0.0327369,9606,Immune system,0.028
245,FABP4,True,Paneth cells,Endoderm,True,0.0,0.0103383,True,0.0,0.0334086,9606,GI tract,0.028
246,FABP4,True,Smooth muscle cells,Mesoderm,True,0.142857,0.00946074,True,0.206612,0.0318805,9606,Smooth muscle,0.028
247,FABP4,True,Adipocytes,Mesoderm,True,0.0,0.0103611,True,1.0,0.0327406,9606,Connective tissue,0.028
248,FABP4,True,Endothelial cells,Mesoderm,True,0.0961538,0.00744819,True,0.273438,0.0207869,9606,Vasculature,0.028
252,TNFRSF9,True,Adipocytes,Mesoderm,True,0.0,0.00345369,True,0.0,0.0,9606,Connective tissue,0.003
253,TBX1,True,Endothelial cells,Mesoderm,True,0.0,0.000971503,True,0.0,0.0,9606,Vasculature,0.003
254,TBX1,True,Adipocytes,Mesoderm,True,0.0,0.000941915,True,0.0,0.0,9606,Connective tissue,0.003
255,TMEM26,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0,9606,Connective tissue,0.002
256,TCF21,True,Podocytes,Mesoderm,True,0.863636,0.0,True,0.0,0.0,9606,Kidney,0.014
257,TCF21,True,Fibroblasts,Mesoderm,True,0.0,0.00616683,True,0.0,0.0,9606,Connective tissue,0.014
259,TCF21,True,Smooth muscle cells,Mesoderm,True,0.0,0.0059918,True,0.0,0.0,9606,Smooth muscle,0.014
260,TCF21,True,Adipocytes,Mesoderm,True,0.0,0.00596546,True,0.0,0.0,9606,Connective tissue,0.014
261,ADIPOQ,True,Adipocytes,Mesoderm,True,0.0,0.0,True,1.0,0.00404442,9606,Connective tissue,0.004
262,ADIPOQ,True,Paneth cells,Endoderm,True,0.0,0.0,True,0.0,0.00457917,9606,GI tract,0.004
263,ADIPOQ,True,Cardiomyocytes,Mesoderm,True,0.0,0.0,True,0.0,0.00457327,9606,Heart,0.004
264,CFD,True,Paneth cells,Endoderm,True,0.0,0.0986842,True,0.0,0.00116092,9606,GI tract,0.018
266,CFD,True,Leydig cells,Mesoderm,True,0.0,0.0987461,True,0.0,0.00115577,9606,Reproductive,0.018
267,CFD,True,Adipocytes,Mesoderm,True,0.0,0.0989011,True,0.75,0.000770367,9606,Connective tissue,0.018
268,ACVR1C,True,Adipocytes,Mesoderm,True,0.0,0.00282575,True,0.125,0.00147654,9606,Connective tissue,0.002
269,SLC2A4,True,Oxyphil cells,Endoderm,True,0.0,0.00250627,True,0.0,0.0,9606,Parathyroid glands,0.001
270,SLC2A4,True,Podocytes,Mesoderm,True,0.0,0.00252366,True,0.0,0.0,9606,Kidney,0.001
271,SLC2A4,True,Adipocytes,Mesoderm,True,0.0,0.00251177,True,0.0,0.0,9606,Connective tissue,0.001
272,LPIN1,True,Adipocytes,Mesoderm,True,0.0,0.0260597,True,0.125,0.0091802,9606,Connective tissue,0.012
273,PLIN1,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.5,0.000192592,9606,Connective tissue,0.0
274,PLIN1,True,Hepatocytes,Endoderm,True,0.0,0.0,True,0.0,0.000450306,9606,Liver,0.0
275,PCK1,True,Proximal tubule cells,Mesoderm,True,1.0,0.0153557,True,0.9,0.0034805,9606,Kidney,0.008
276,PCK1,True,Hepatocytes,Endoderm,True,0.162162,0.0139461,True,0.65,0.00585397,9606,Liver,0.008
277,PCK1,True,Adipocytes,Mesoderm,True,0.0,0.0156986,True,0.5,0.00725429,9606,Connective tissue,0.008
278,RETN,True,Adipocytes,Mesoderm,True,0.0,0.00533752,True,0.0,0.0,9606,Connective tissue,0.001
280,MEST,True,Adipocytes,Mesoderm,True,0.0,0.103925,True,0.0,0.0207357,9606,Connective tissue,0.039
281,MEST,True,Tanycytes,Ectoderm,True,0.0,0.103697,True,0.047619,0.0206888,9606,Brain,0.039
282,ADM2,True,Adipocytes,Mesoderm,True,0.142857,0.0,True,0.0,0.000128394,9606,Connective tissue,0.0
283,STAT6,True,Adipocytes,Mesoderm,True,0.714286,0.00659341,True,0.0,0.0,9606,Connective tissue,0.01
285,TFE3,True,Adipocytes,Mesoderm,True,0.714286,0.00345369,True,0.0,0.0,9606,Connective tissue,0.005
286,CPPED1,True,Adipocytes,Mesoderm,True,0.428571,0.010989,True,0.125,0.00731848,9606,Connective tissue,0.008
292,AGT,True,Astrocytes,Ectoderm,True,0.833333,0.0144382,True,0.622951,0.00942408,9606,Brain,0.02
293,AGT,True,Adipocytes,Mesoderm,True,0.0,0.0160126,True,0.375,0.0212493,9606,Connective tissue,0.02
294,SLC1A5,True,Adipocytes,Mesoderm,True,0.0,0.0464678,True,0.0,0.0,9606,Connective tissue,0.038
295,SLC1A5,True,Neutrophils,Mesoderm,True,0.0,0.0465555,True,0.0,0.0,9606,Immune system,0.038
296,ACSL1,True,Epsilon cells,Endoderm,True,0.0,0.0191103,True,0.0,0.0233558,9606,Pancreas,0.022
297,ACSL1,True,Adipocytes,Mesoderm,True,0.0,0.0191523,True,0.375,0.0231752,9606,Connective tissue,0.022
298,P16015,True,Adipocytes,Mesoderm,False,0.0,0.0,True,1.0,0.00783206,10090,Connective tissue,0.007
299,BCAT2,True,Adipocytes,Mesoderm,True,0.0,0.0144427,True,0.25,0.0202221,9606,Connective tissue,0.021
300,PNPLA2,True,Adipocytes,Mesoderm,True,0.0,0.0160126,True,0.875,0.0202863,9606,Connective tissue,0.02
301,PNPLA2,True,Oligodendrocytes,Ectoderm,True,0.0,0.0161188,True,0.00268097,0.0216322,9606,Brain,0.02
302,CIDEC,True,Adipocytes,Mesoderm,True,0.0,0.0,True,0.75,0.00218271,9606,Connective tissue,0.002
304,CDO1,True,Oligodendrocyte progenitor cells,Ectoderm,True,0.0,0.0119309,True,0.556604,0.0347362,9606,Brain,0.036
306,CDO1,True,Adipocytes,Mesoderm,True,0.0,0.0119309,True,0.5,0.0415998,9606,Connective tissue,0.036
307,APOC1,True,Adipocytes,Mesoderm,True,0.0,0.078179,True,0.75,0.0360146,9606,Connective tissue,0.047
308,MMP2,True,Adipocytes,Mesoderm,True,1.0,0.0656201,True,0.0,0.0385825,9606,Connective tissue,0.045
309,MMP2,True,Fibroblasts,Mesoderm,True,0.666667,0.0460889,True,0.79638,0.0164432,9606,Connective tissue,0.045
312,POSTN,True,Endothelial cells,Mesoderm,True,0.0384615,0.0226684,True,0.0299479,0.0349598,9606,Vasculature,0.033
313,POSTN,True,Fibroblasts,Mesoderm,True,0.171171,0.0178513,True,0.438914,0.0229149,9606,Connective tissue,0.033
314,POSTN,True,Osteoblasts,Mesoderm,True,0.0,0.023183,True,0.486486,0.0336378,9606,Bone,0.033
316,POSTN,True,Adipocytes,Mesoderm,True,0.285714,0.022606,True,0.0,0.0347307,9606,Connective tissue,0.033
317,LOX,True,Fibroblasts,Mesoderm,True,0.234234,0.00714054,True,0.348416,0.00719805,9606,Connective tissue,0.017
320,LOX,True,Endothelial cells,Mesoderm,True,0.00961538,0.0152202,True,0.00260417,0.0176149,9606,Vasculature,0.017
322,LOX,True,Cardiomyocytes,Mesoderm,True,0.0,0.0150376,True,0.0,0.0169404,9606,Heart,0.017
323,LOX,True,Adipocytes,Mesoderm,True,0.285714,0.0144427,True,0.25,0.0167555,9606,Connective tissue,0.017
325,LOX,True,Smooth muscle cells,Mesoderm,True,0.0,0.0151372,True,0.0743802,0.0164252,9606,Smooth muscle,0.017
326,COL6A2,True,Fibroblasts,Mesoderm,True,0.792793,0.0785459,True,0.852941,0.0206036,9606,Connective tissue,0.056
